gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,gamesStarted,decision,shotsAgainst,goalsAgainst,savePctg,shutouts,opponentAbbrev,pim,toi,playerId,playerName
2024021267,COL,R,4/12/2025,0,0,Avalanche,Kings,1,L,33,5,0.848485,0,LAK,0,57:55:00,8478406,Mackenzie Blackwood
2024021256,COL,H,4/10/2025,0,0,Avalanche,Canucks,1,L,29,3,0.896552,0,VAN,0,58:06:00,8478406,Mackenzie Blackwood
2024021218,COL,R,4/5/2025,0,0,Avalanche,Blues,1,L,21,4,0.809524,0,STL,0,57:22:00,8478406,Mackenzie Blackwood
2024021199,COL,R,4/3/2025,0,0,Avalanche,Blue Jackets,1,W,30,3,0.9,0,CBJ,0,60:00:00,8478406,Mackenzie Blackwood
2024021161,COL,H,3/29/2025,0,0,Avalanche,Blues,1,L,27,2,0.925926,0,STL,0,58:13:00,8478406,Mackenzie Blackwood
2024021149,COL,H,3/27/2025,0,0,Avalanche,Kings,1,W,22,0,1,1,LAK,0,59:48:00,8478406,Mackenzie Blackwood
2024021136,COL,H,3/25/2025,0,0,Avalanche,Red Wings,1,W,23,2,0.913043,0,DET,0,59:41:00,8478406,Mackenzie Blackwood
2024021112,COL,R,3/22/2025,0,0,Avalanche,Canadiens,1,W,29,4,0.862069,0,MTL,0,64:57:00,8478406,Mackenzie Blackwood
2024021087,COL,R,3/19/2025,0,0,Avalanche,Maple Leafs,1,L,26,2,0.923077,0,TOR,0,58:21:00,8478406,Mackenzie Blackwood
2024021030,COL,R,3/11/2025,0,0,Avalanche,Wild,1,O,23,1,0.956522,0,MIN,0,65:00:00,8478406,Mackenzie Blackwood
2024021007,COL,H,3/8/2025,0,0,Avalanche,Maple Leafs,1,W,21,4,0.809524,0,TOR,0,59:35:00,8478406,Mackenzie Blackwood
2024020996,COL,H,3/6/2025,0,0,Avalanche,Sharks,1,W,34,3,0.911765,0,SJS,0,59:41:00,8478406,Mackenzie Blackwood
2024020947,COL,H,2/28/2025,0,1,Avalanche,Wild,1,W,20,2,0.9,0,MIN,0,60:00:00,8478406,Mackenzie Blackwood
2024020931,COL,H,2/26/2025,0,0,Avalanche,Devils,1,W,23,1,0.956522,0,NJD,2,60:00:00,8478406,Mackenzie Blackwood
2024020910,COL,R,2/23/2025,0,0,Avalanche,Blues,1,L,25,3,0.88,0,STL,0,57:24:00,8478406,Mackenzie Blackwood
2024020874,COL,R,2/7/2025,0,0,Avalanche,Oilers,1,W,27,4,0.851852,0,EDM,0,60:00:00,8478406,Mackenzie Blackwood
2024020868,COL,R,2/6/2025,0,0,Avalanche,Flames,1,W,29,2,0.931034,0,CGY,0,60:00:00,8478406,Mackenzie Blackwood
2024020855,COL,R,2/4/2025,0,0,Avalanche,Canucks,1,L,30,2,0.933333,0,VAN,0,57:40:00,8478406,Mackenzie Blackwood
2024020836,COL,H,2/2/2025,0,0,Avalanche,Flyers,1,W,24,0,1,1,PHI,0,59:40:00,8478406,Mackenzie Blackwood
2024020824,COL,H,1/31/2025,0,0,Avalanche,Blues,1,W,19,0,1,1,STL,0,59:18:00,8478406,Mackenzie Blackwood
2024020803,COL,R,1/28/2025,0,0,Avalanche,Islanders,1,L,27,4,0.851852,0,NYI,0,58:51:00,8478406,Mackenzie Blackwood
2024020789,COL,R,1/26/2025,0,0,Avalanche,Rangers,1,W,37,4,0.891892,0,NYR,0,60:00:00,8478406,Mackenzie Blackwood
2024020759,COL,H,1/22/2025,0,0,Avalanche,Jets,1,O,25,3,0.88,0,WPG,0,60:17:00,8478406,Mackenzie Blackwood
2024020741,COL,H,1/20/2025,0,0,Avalanche,Wild,1,L,26,3,0.884615,0,MIN,0,56:23:00,8478406,Mackenzie Blackwood
2024020718,COL,H,1/16/2025,0,0,Avalanche,Oilers,1,L,28,4,0.857143,0,EDM,0,58:07:00,8478406,Mackenzie Blackwood
2024020703,COL,H,1/14/2025,0,0,Avalanche,Rangers,1,W,29,2,0.931034,0,NYR,0,63:15:00,8478406,Mackenzie Blackwood
2024020678,COL,R,1/11/2025,0,0,Avalanche,Jets,1,L,28,2,0.928571,0,WPG,0,57:56:00,8478406,Mackenzie Blackwood
2024020662,COL,R,1/9/2025,0,0,Avalanche,Wild,1,W,25,1,0.96,0,MIN,0,60:00:00,8478406,Mackenzie Blackwood
2024020639,COL,H,1/6/2025,0,0,Avalanche,Panthers,1,W,27,1,0.962963,0,FLA,0,60:00:00,8478406,Mackenzie Blackwood
2024020626,COL,H,1/4/2025,0,0,Avalanche,Canadiens,1,O,23,1,0.956522,0,MTL,0,64:54:00,8478406,Mackenzie Blackwood
2024020610,COL,H,1/2/2025,0,0,Avalanche,Sabres,0,W,3,1,0.666667,0,BUF,0,16:12,8478406,Mackenzie Blackwood
2024020597,COL,H,12/31/2024,0,0,Avalanche,Jets,1,W,22,2,0.909091,0,WPG,0,60:00:00,8478406,Mackenzie Blackwood
2024020564,COL,R,12/27/2024,0,0,Avalanche,Utah Hockey Club,1,W,35,1,0.971429,0,UTA,0,60:00:00,8478406,Mackenzie Blackwood
2024020543,COL,H,12/22/2024,0,0,Avalanche,Kraken,1,W,19,2,0.894737,0,SEA,0,59:55:00,8478406,Mackenzie Blackwood
2024020520,COL,R,12/19/2024,0,0,Avalanche,Sharks,1,W,34,2,0.941176,0,SJS,0,59:43:00,8478406,Mackenzie Blackwood
2024020496,COL,R,12/16/2024,0,0,Avalanche,Canucks,1,L,24,2,0.916667,0,VAN,0,56:51:00,8478406,Mackenzie Blackwood
2024020484,COL,H,12/14/2024,0,0,Avalanche,Predators,1,W,39,2,0.948718,0,NSH,0,60:00:00,8478406,Mackenzie Blackwood
2024020429,SJS,R,12/7/2024,0,0,Sharks,Panthers,1,L,54,3,0.944444,0,FLA,0,57:45:00,8478406,Mackenzie Blackwood
2024020413,SJS,R,12/5/2024,0,0,Sharks,Lightning,0,,23,3,0.869565,0,TBL,0,40:00:00,8478406,Mackenzie Blackwood
2024020400,SJS,R,12/3/2024,0,0,Sharks,Capitals,1,W,28,1,0.964286,0,WSH,0,59:58:00,8478406,Mackenzie Blackwood
2024020387,SJS,R,11/30/2024,0,0,Sharks,Kraken,1,W,38,2,0.947368,0,SEA,0,60:00:00,8478406,Mackenzie Blackwood
2024020361,SJS,H,11/27/2024,0,0,Sharks,Senators,1,L,11,4,0.636364,0,OTT,0,57:54:00,8478406,Mackenzie Blackwood
2024020331,SJS,H,11/23/2024,0,0,Sharks,Sabres,1,L,30,3,0.9,0,BUF,0,59:10:00,8478406,Mackenzie Blackwood
2024020303,SJS,R,11/20/2024,0,0,Sharks,Stars,1,L,29,3,0.896552,0,DAL,0,58:35:00,8478406,Mackenzie Blackwood
2024020293,SJS,H,11/18/2024,0,0,Sharks,Red Wings,1,W,20,4,0.85,0,DET,0,60:34:00,8478406,Mackenzie Blackwood
2024020279,SJS,R,11/16/2024,0,0,Sharks,Penguins,0,O,26,1,0.961538,0,PIT,0,45:00:00,8478406,Mackenzie Blackwood
2024020261,SJS,R,11/14/2024,0,0,Sharks,Rangers,1,L,35,3,0.914286,0,NYR,0,56:58:00,8478406,Mackenzie Blackwood
2024020236,SJS,R,11/10/2024,0,0,Sharks,Devils,1,W,44,0,1,1,NJD,0,59:57:00,8478406,Mackenzie Blackwood
2024020184,SJS,H,11/2/2024,0,0,Sharks,Canucks,1,L,28,3,0.892857,0,VAN,0,58:52:00,8478406,Mackenzie Blackwood
2024020167,SJS,H,10/31/2024,0,0,Sharks,Blackhawks,1,W,29,2,0.931034,0,CHI,0,60:00:00,8478406,Mackenzie Blackwood
2024020145,SJS,R,10/28/2024,0,0,Sharks,Utah Hockey Club,1,W,23,4,0.826087,0,UTA,0,60:45:00,8478406,Mackenzie Blackwood
2024020117,SJS,R,10/24/2024,0,0,Sharks,Kings,1,L,30,3,0.9,0,LAK,0,57:44:00,8478406,Mackenzie Blackwood
